crop,temperature,humidity,rainfall,wind_speed,pressure,cloud_cover,soil_pH,nitrogen,phosphorus,potassium,organic_matter,season,month,success
Pulses,24.7,43.4,9.43,11.7,1014.0,20.5,7.05,0,0,0,1.44,2,2,0
Wheat,21.4,52.5,4.26,7.2,1018.5,56.0,5.74,2,0,0,0.69,2,10,0
Pulses,26.3,74.3,6.06,4.5,1025.9,33.9,5.26,0,2,2,2.13,2,8,0
Rice,28.4,87.5,9.26,6.2,1007.7,8.7,6.36,1,2,0,1.02,2,3,1
Maize,30.1,74.6,4.45,6.4,1010.7,3.4,6.87,0,0,1,2.43,0,2,1
Cotton,31.3,62.1,2.81,13.3,1015.0,48.7,6.93,1,2,0,1.71,0,9,1
Soybean,22.0,84.3,4.54,3.7,1014.5,68.3,6.04,1,1,0,2.54,0,6,1
Rice,29.9,95.1,10.15,2.1,1015.6,13.7,6.27,0,2,1,2.33,1,12,1
Jowar,39.8,56.8,2.19,7.5,1014.9,18.4,7.91,0,2,1,0.67,2,8,1
Maize,25.6,55.2,6.11,10.6,1026.2,93.7,6.03,0,0,1,0.58,2,3,1
Maize,26.0,58.4,0.62,12.0,1012.8,68.8,6.99,1,0,2,0.69,1,5,0
Bajra,37.1,51.2,0.0,13.9,1011.8,13.7,7.06,1,0,2,1.8,1,8,1
Bajra,33.3,51.2,2.29,13.0,1012.6,22.1,8.14,1,0,0,2.17,1,7,0
Wheat,15.4,57.7,0.08,14.0,1018.3,97.1,6.37,2,0,1,2.36,2,3,1
Rice,34.6,78.4,4.18,9.3,1018.1,53.0,7.21,1,2,2,0.66,2,8,0
Wheat,21.8,75.4,2.73,7.5,1021.6,87.7,6.86,1,2,2,2.68,1,11,1
Groundnut,23.8,42.2,9.49,7.2,1011.7,52.3,6.48,0,1,0,0.78,1,8,0
Rice,26.0,65.0,5.7,7.0,1014.2,68.0,6.48,2,1,0,2.47,2,12,0
Sugarcane,30.2,63.1,2.63,5.0,1012.4,3.7,6.47,1,2,1,2.5,1,7,1
Wheat,20.0,80.0,2.7,8.7,1013.9,49.1,6.12,0,2,2,1.06,0,9,1
Jowar,14.8,46.8,2.55,13.1,1012.7,93.2,5.59,2,2,1,1.52,2,6,0
Soybean,25.1,56.5,3.26,13.6,1013.2,99.1,7.44,1,0,1,1.98,1,3,0
Soybean,28.7,90.3,4.02,13.3,1009.8,16.0,7.51,0,2,0,2.24,1,4,1
Sugarcane,23.6,62.9,2.6,2.1,1015.8,82.0,6.97,0,1,2,0.9,1,12,1
Groundnut,29.3,31.6,2.29,12.6,1011.0,1.8,6.29,0,1,2,1.48,2,5,0
Sugarcane,22.6,62.6,4.02,2.9,1011.0,58.2,6.85,0,1,1,0.69,1,2,1
Maize,29.3,82.3,2.74,12.7,1018.7,25.3,6.42,2,1,1,1.18,0,4,1
Wheat,20.2,68.0,2.16,12.0,1010.5,23.0,7.13,2,2,2,2.88,0,5,1
Cotton,24.3,76.6,4.8,5.0,1006.7,86.4,7.1,2,1,0,2.67,0,8,0
Rice,32.3,81.4,11.99,12.4,1016.5,48.2,6.6,1,2,0,2.02,0,6,1
Jowar,28.2,45.1,5.23,14.8,1012.4,68.0,5.63,1,1,2,2.0,2,9,1
Wheat,17.3,64.4,3.27,8.3,1013.2,21.0,6.67,0,1,1,1.32,1,1,0
Wheat,20.1,65.8,2.95,12.7,1013.5,95.2,6.41,0,2,2,0.58,1,9,1
Groundnut,24.6,37.0,5.15,8.3,1015.8,66.1,8.01,1,1,1,1.63,2,9,1
Pulses,34.4,53.1,7.33,10.0,1011.2,74.4,7.86,0,2,0,2.15,2,12,1
Rice,21.9,80.1,2.01,7.2,1012.9,22.1,6.08,1,2,2,1.14,0,5,0
Pulses,23.6,83.6,0.0,2.5,1014.1,43.9,5.83,0,1,1,1.99,1,7,1
Pulses,31.2,40.8,0.0,12.1,1012.4,40.5,8.0,1,2,1,1.09,1,2,0
Groundnut,22.5,57.9,0.77,9.7,1022.1,9.5,6.89,0,2,0,2.92,1,3,1
Cotton,30.7,60.2,2.81,5.1,1020.7,23.5,6.39,1,2,1,0.92,1,10,1
Jowar,18.2,53.6,6.75,4.2,1011.4,84.4,7.68,2,2,1,1.01,0,4,0
Rice,34.2,62.6,9.89,10.9,1008.5,39.7,6.6,1,2,2,0.54,0,2,0
Jowar,18.3,67.6,0.0,3.6,1013.3,16.2,7.23,0,0,2,2.18,1,5,1
Sugarcane,26.6,72.1,0.0,5.2,1014.0,83.1,6.96,2,0,2,2.83,1,4,0
Wheat,24.5,56.4,2.76,9.5,1008.0,60.5,7.2,2,0,0,1.52,0,9,1
Cotton,26.7,76.1,3.91,6.3,1017.8,66.8,7.08,1,1,1,2.69,2,3,1
Wheat,22.5,44.7,0.08,11.0,1008.0,23.8,6.14,0,2,1,0.68,2,8,1
Pulses,15.2,60.0,7.05,13.9,1013.3,81.4,7.5,0,0,1,1.82,2,12,1
Maize,30.2,70.6,5.19,14.4,1011.7,92.7,6.93,2,0,0,1.38,1,4,1
Cotton,29.2,50.1,0.79,6.0,1020.0,61.0,7.29,1,1,0,2.94,1,9,1
Groundnut,21.2,68.3,7.62,9.4,1020.0,55.0,7.18,0,1,2,2.88,2,6,0
Sugarcane,25.6,98.2,4.03,6.7,1018.8,90.6,7.46,0,1,2,2.45,1,8,0
Bajra,31.7,53.9,1.59,3.9,1007.3,23.5,7.91,1,0,2,1.84,1,5,1
Bajra,29.0,54.6,3.21,9.7,1006.2,49.7,7.17,1,2,2,2.24,2,10,0
Sugarcane,34.5,53.8,3.97,13.8,1009.3,64.5,7.96,2,0,0,1.07,0,7,1
Maize,28.6,77.4,3.57,10.3,1014.0,27.1,6.24,1,2,1,1.08,1,3,1
Sugarcane,29.5,89.2,2.35,9.3,1008.0,53.6,8.38,1,1,0,2.55,0,12,0
Soybean,29.1,52.0,0.0,8.8,1016.9,62.4,7.06,1,2,0,2.02,1,4,1
Rice,26.0,63.3,3.39,5.1,1019.6,28.0,5.9,1,1,2,0.9,1,11,0
Sugarcane,26.2,30.1,6.05,10.2,1013.1,67.4,4.99,1,1,1,2.51,2,4,1
Jowar,23.8,51.8,3.22,9.5,1003.2,60.6,7.44,0,1,1,2.57,2,3,1
Jowar,24.9,67.7,5.49,5.0,1007.7,8.0,6.95,0,2,1,2.69,0,12,1
Sugarcane,17.7,78.8,5.86,4.8,1021.2,61.9,5.39,2,0,2,1.1,2,5,0
Jowar,25.5,49.4,5.14,10.2,1008.4,22.9,7.44,0,2,0,2.06,1,7,1
Rice,23.9,72.8,4.49,12.8,1017.4,1.1,5.6,1,1,2,1.55,1,5,0
Pulses,29.8,45.1,4.45,10.2,1018.2,19.9,5.77,0,0,0,0.77,2,5,1
Maize,23.9,60.4,5.46,12.5,1018.1,39.2,5.88,1,0,0,2.89,0,8,1
Jowar,27.6,57.0,2.05,12.7,1013.8,49.5,6.93,2,1,0,2.03,2,8,1
Bajra,27.6,44.2,2.09,3.4,1013.1,38.8,7.85,2,1,2,2.93,2,7,0
Bajra,27.8,40.5,0.56,11.9,1009.5,26.5,7.67,1,2,0,1.24,0,9,1
Rice,25.4,66.2,10.89,6.2,1012.6,11.4,6.47,0,0,2,1.8,1,11,1
Pulses,20.7,68.4,2.47,7.7,1006.6,61.3,6.52,1,1,0,2.19,2,1,1
Soybean,29.7,54.6,3.76,4.9,1006.5,5.4,5.67,1,1,2,1.17,0,2,1
Rice,28.7,79.0,6.05,8.6,1015.9,84.1,6.24,0,1,2,2.4,0,8,1
Bajra,32.3,27.4,1.75,10.3,1009.9,46.2,7.73,0,0,2,2.98,2,10,1
Rice,29.4,77.6,3.8,4.4,1020.2,35.5,6.86,0,0,1,2.62,1,6,0
Wheat,25.1,66.2,2.95,8.1,1007.6,38.5,6.99,1,1,2,0.84,1,5,0
Sugarcane,26.0,37.1,6.16,2.8,1025.8,58.0,6.56,2,1,1,2.0,2,12,1
Bajra,26.7,45.0,0.83,12.2,1017.7,51.7,7.23,0,1,2,2.34,0,2,1
Maize,28.0,72.7,5.76,10.3,1010.3,49.6,6.06,2,2,2,1.52,1,12,1
Groundnut,35.4,83.1,1.78,2.3,1013.7,29.9,6.1,0,2,1,2.63,1,3,1
Cotton,22.7,56.3,3.8,8.3,1020.0,13.3,7.1,1,2,2,1.74,0,8,0
Jowar,23.7,54.8,4.82,2.2,1017.4,97.5,6.86,1,2,1,2.61,1,12,1
Jowar,22.5,52.1,2.96,6.5,1007.3,90.0,7.08,1,2,2,2.71,0,10,1
Pulses,18.2,52.1,4.99,9.3,1015.3,60.9,6.0,0,0,0,0.56,0,4,0
Pulses,25.8,64.0,1.52,7.3,1013.2,54.3,7.3,2,1,0,1.86,1,6,0
Rice,24.2,74.4,6.65,7.4,1016.1,6.2,7.51,1,2,1,2.95,2,1,1
Groundnut,36.3,61.9,5.66,3.6,1017.0,66.0,7.64,1,2,0,1.63,1,12,0
Pulses,35.1,90.3,2.33,7.1,1010.4,45.2,6.44,2,1,2,2.44,2,11,0
Soybean,32.0,79.1,1.23,4.5,1007.4,89.7,6.25,1,1,1,2.48,2,3,1
Bajra,40.2,46.8,0.91,11.5,1010.2,79.9,7.31,1,1,2,2.71,2,7,1
Wheat,25.8,57.7,1.93,4.2,1020.2,88.2,7.26,2,2,2,0.82,0,9,0
Bajra,37.2,47.2,0.19,13.2,1013.8,71.0,7.86,0,2,1,2.55,0,5,1
Soybean,32.6,79.5,2.94,12.7,1010.5,10.1,6.2,0,2,1,1.37,2,2,1
Pulses,20.3,90.2,6.96,13.0,1010.6,31.5,7.41,2,2,1,2.64,0,8,1
Groundnut,27.5,73.1,0.0,4.8,1022.7,3.3,7.1,0,0,1,2.4,0,7,1
Jowar,29.2,76.6,4.02,9.3,1012.3,46.0,6.81,0,1,2,1.53,2,11,1
Maize,23.1,64.5,3.39,14.6,1009.5,82.6,6.69,2,0,0,2.91,2,9,1
Groundnut,37.0,68.0,0.0,2.9,1004.5,82.5,6.79,0,2,0,1.25,1,9,0
Maize,27.6,61.4,5.59,12.9,1024.3,28.5,6.78,2,2,1,2.64,2,5,1
Cotton,25.6,52.8,6.44,8.8,1007.4,34.1,7.16,0,1,0,2.08,0,3,0
Maize,25.7,56.9,4.78,14.6,1009.6,26.3,6.86,1,2,2,2.96,2,6,1
Sugarcane,26.5,53.0,2.51,7.9,1024.5,47.0,7.24,0,0,0,1.84,0,1,1
Soybean,23.5,76.3,1.56,14.1,1026.7,39.7,7.38,0,0,0,2.55,0,3,0
Groundnut,23.8,61.0,2.27,14.1,1011.2,73.0,7.09,0,0,0,2.02,0,10,1
Groundnut,20.4,72.2,4.34,10.6,1007.0,9.2,7.65,2,0,0,1.51,2,9,1
Groundnut,34.9,44.0,5.02,8.5,1011.5,63.8,7.24,0,1,0,0.67,1,8,1
Rice,27.0,74.7,7.38,9.5,1003.6,4.4,6.44,0,1,0,1.04,0,7,1
Soybean,30.8,66.4,1.38,5.6,1018.0,44.6,8.42,1,2,2,2.64,2,9,1
Groundnut,22.6,71.9,0.0,10.9,1004.7,37.5,8.04,0,2,0,2.73,0,4,1
Bajra,30.2,43.4,0.0,2.9,1004.6,67.7,8.23,0,1,1,1.64,0,2,1
Cotton,25.6,48.9,3.2,14.0,1012.2,41.4,7.14,2,1,1,2.39,2,5,1
Pulses,25.5,63.4,3.6,14.8,1005.3,34.0,7.72,0,0,0,1.88,1,6,1
Cotton,23.5,57.8,5.46,4.5,1008.6,5.8,6.67,1,2,0,2.92,2,4,0
Bajra,31.2,33.2,0.48,12.2,1008.5,32.6,7.84,1,2,0,2.33,0,1,1
Cotton,31.2,44.8,3.48,13.3,1021.8,13.1,7.33,2,2,0,2.49,0,10,1
Sugarcane,25.4,42.4,2.97,9.7,1005.8,20.3,7.31,2,2,2,1.78,0,3,1
Rice,25.5,80.4,8.92,9.8,1004.4,59.1,5.4,2,0,2,1.0,0,8,1
Maize,22.9,57.1,1.8,2.4,1017.4,92.9,6.08,1,2,2,2.23,1,5,0
Rice,30.4,87.1,5.4,14.9,1013.7,20.1,7.22,1,0,2,0.51,2,1,1
Maize,27.5,72.2,4.84,12.0,1018.9,84.6,6.2,1,2,2,1.72,1,4,1
Sugarcane,29.5,67.1,0.0,2.1,1022.4,10.1,7.88,1,1,0,1.75,1,12,1
Sugarcane,18.0,48.6,1.08,14.1,1017.1,32.1,6.25,0,2,0,1.87,1,5,1
Cotton,27.4,55.9,0.23,11.4,1015.9,86.7,6.85,1,1,1,0.68,1,2,1
Maize,22.7,54.8,1.99,13.9,1009.5,15.9,6.58,1,1,1,2.3,0,12,0
Wheat,28.2,48.7,2.02,2.8,1007.8,83.9,7.18,0,1,0,2.85,0,12,0
Jowar,19.3,47.7,1.81,13.6,1017.3,37.7,7.7,2,0,0,2.22,1,1,1
Jowar,25.3,67.8,0.96,14.4,1013.3,70.3,7.15,1,0,0,1.69,2,12,1
Cotton,27.6,55.5,3.0,7.6,1005.8,36.9,7.5,0,2,0,0.97,0,4,1
Rice,27.4,81.2,4.58,4.8,1012.6,67.8,7.02,0,0,1,1.49,2,4,0
Rice,28.4,71.6,15.4,3.1,1013.6,82.3,6.0,1,1,0,1.17,0,10,1
Cotton,27.1,61.8,3.16,5.5,1011.6,72.5,7.53,0,1,1,2.19,2,12,1
Wheat,23.8,55.2,3.01,3.6,1017.9,51.8,7.04,0,1,2,2.16,0,7,0
Maize,23.8,66.7,4.49,7.2,1020.4,30.3,6.39,2,0,0,2.84,1,12,1
Groundnut,30.2,86.6,8.32,9.3,1009.6,72.6,7.35,2,1,0,2.06,1,11,1
Bajra,32.5,48.3,0.63,10.8,1020.9,26.0,6.72,0,2,1,1.23,0,9,1
Rice,29.3,77.0,3.29,2.6,1004.6,76.1,6.49,0,1,0,2.91,1,6,0
Sugarcane,22.4,64.2,6.92,13.2,1006.4,48.1,6.86,0,2,0,0.84,2,2,1
Sugarcane,27.4,47.7,0.0,8.8,1011.9,91.9,6.96,2,2,1,2.06,1,6,1
Maize,21.5,70.4,5.52,7.1,1008.0,95.3,7.18,1,2,0,2.64,1,4,0
Wheat,27.9,52.8,2.46,12.9,1010.3,55.2,7.22,2,2,0,1.06,1,7,0
Soybean,32.3,50.9,4.9,2.0,1005.7,90.1,6.55,1,2,2,2.89,0,9,1
Groundnut,19.3,36.0,3.62,9.5,1019.0,25.1,7.12,0,2,1,2.14,1,1,1
Pulses,23.0,47.9,4.87,11.3,1016.5,56.3,6.13,0,2,1,2.6,0,12,1
Groundnut,25.1,73.8,2.68,4.7,1006.7,33.2,8.21,2,1,1,0.68,1,3,1
Cotton,29.1,51.0,2.82,6.6,1016.7,82.5,7.65,1,0,0,1.85,2,5,1
Cotton,30.1,34.4,1.54,6.0,1016.4,74.2,6.69,0,0,2,2.02,1,5,1
Jowar,20.3,47.2,0.69,7.3,1008.9,22.0,6.71,1,0,1,1.98,0,11,1
Groundnut,35.0,65.7,4.2,14.4,1005.1,71.4,6.54,0,0,1,2.45,2,9,1
Bajra,33.2,51.1,0.82,11.3,1017.4,46.2,7.82,0,2,2,0.81,0,9,1
Wheat,20.5,50.4,0.59,3.5,1016.7,43.5,6.98,0,0,2,1.71,1,1,1
Bajra,34.6,41.0,1.3,13.0,1019.2,9.8,7.79,2,0,2,2.27,0,1,1
Soybean,26.0,50.1,4.75,12.4,1002.2,13.2,7.34,1,0,2,1.27,2,2,0
Soybean,31.5,60.1,6.38,13.1,1010.6,98.2,6.84,2,1,0,1.87,1,5,1
Cotton,31.7,44.8,5.44,7.3,1010.3,68.5,6.77,0,2,1,1.01,2,4,0
Wheat,15.2,68.9,3.72,7.4,1015.6,75.1,6.33,0,1,2,1.58,0,8,0
Pulses,28.0,59.4,3.28,9.2,1014.7,20.4,6.25,0,2,2,2.01,1,9,1
Bajra,24.8,35.8,0.0,9.8,1013.3,7.7,7.62,0,2,1,0.67,0,6,0
Maize,31.0,78.4,1.4,2.2,1018.9,61.0,6.91,0,2,2,1.99,0,4,0
Wheat,26.1,53.7,0.49,14.2,1015.5,0.7,6.28,1,1,1,2.2,0,1,0
Maize,26.2,72.2,5.52,11.6,1016.2,49.8,7.23,2,1,1,0.73,2,5,1
Jowar,20.4,35.9,1.9,9.7,1010.5,61.3,8.34,0,0,1,2.25,0,8,0
Groundnut,27.5,56.5,1.04,5.2,1012.7,73.3,6.45,1,0,2,1.99,1,7,0
Pulses,22.4,55.9,5.23,7.2,1012.7,51.4,5.54,2,2,1,1.23,1,10,1
Wheat,22.6,62.7,0.0,6.8,1014.5,78.7,6.91,0,1,0,2.68,2,12,1
Sugarcane,29.6,35.8,0.0,12.7,1013.9,29.2,7.43,2,1,0,1.0,1,7,0
Sugarcane,30.9,44.9,2.93,3.5,1020.4,94.3,6.88,1,2,2,2.54,2,3,1
Maize,26.3,54.9,1.77,9.0,1004.7,35.7,6.55,2,1,0,2.57,1,7,0
Cotton,24.6,46.4,4.42,13.4,1011.9,55.3,7.2,2,2,1,1.8,0,10,0
Groundnut,21.7,62.6,3.41,4.1,1021.0,67.4,6.69,0,1,2,1.72,0,1,1
Groundnut,26.6,86.2,2.3,3.4,1013.5,60.8,7.34,1,2,2,1.11,2,3,1
Sugarcane,18.4,75.3,8.22,11.1,1003.6,70.2,5.73,0,0,1,1.32,0,6,1
Wheat,24.2,77.2,2.38,3.5,1008.5,69.2,6.43,2,0,0,2.41,2,7,1
Pulses,24.0,19.7,3.65,10.2,1009.2,68.9,6.96,0,1,0,1.84,0,9,1
Sugarcane,25.7,78.4,5.74,4.4,1009.0,38.8,6.5,1,2,1,0.67,1,6,1
Jowar,25.7,70.0,4.16,8.7,1013.2,98.9,7.29,0,2,1,1.3,2,3,1
Sugarcane,29.5,82.3,0.79,2.6,1015.9,37.9,8.17,1,1,0,1.43,2,12,1
Rice,27.4,77.7,12.54,11.8,1015.1,80.3,7.2,1,0,2,2.18,0,11,1
Groundnut,19.8,79.6,0.25,9.9,1020.3,85.3,6.72,0,1,1,0.89,1,11,0
Sugarcane,24.2,80.5,0.0,13.3,1006.9,72.4,7.31,2,2,0,1.96,1,12,1
Bajra,32.0,55.3,0.34,11.0,1013.5,63.6,8.01,0,1,0,2.56,0,10,1
Maize,25.8,71.1,5.06,12.2,1012.9,77.4,6.67,0,0,0,1.15,1,5,1
Bajra,31.8,56.1,1.37,7.6,1013.3,73.6,7.78,2,0,1,0.74,2,1,1
Sugarcane,18.8,96.7,0.06,13.6,1007.2,84.9,6.14,1,2,1,1.28,0,3,1
Sugarcane,32.7,69.4,5.68,13.2,1021.2,99.1,8.62,2,2,2,2.19,0,11,1
Jowar,34.8,67.5,0.0,14.9,1002.5,98.1,7.29,1,0,1,2.29,0,11,0
Rice,30.8,71.5,6.44,10.4,1021.0,81.0,6.58,0,2,1,1.64,2,1,1
Rice,29.1,90.5,10.56,14.5,1015.3,53.6,6.71,1,1,0,0.88,0,1,1
Sugarcane,22.8,63.3,1.95,11.1,1014.0,24.6,7.2,1,1,2,1.03,0,11,1
Soybean,29.7,69.4,0.99,2.4,1009.8,89.7,7.72,2,2,2,2.05,2,5,1
Maize,23.5,45.6,7.27,13.6,1015.5,78.9,6.0,2,1,1,1.69,1,6,1
Soybean,16.8,34.5,1.84,5.0,1018.3,13.0,6.51,2,0,0,1.26,0,10,0
Sugarcane,27.0,64.3,1.78,11.2,1007.7,47.8,6.78,1,1,2,0.51,1,7,1
Wheat,23.5,58.1,1.94,5.7,1009.3,36.4,7.42,1,0,0,1.94,2,12,1
Soybean,20.6,68.8,6.79,2.2,1000.3,65.6,7.29,1,2,2,0.79,1,7,1
Groundnut,35.9,83.4,2.32,4.3,1011.5,56.8,6.81,0,1,1,2.11,2,8,1
Jowar,21.6,74.4,3.58,7.3,1014.1,57.7,6.82,2,1,0,2.46,2,10,1
Bajra,33.3,42.0,1.74,6.4,1021.1,98.9,7.81,2,0,2,1.05,1,4,1
Groundnut,33.5,67.9,6.37,6.9,1009.2,55.4,8.33,0,0,1,1.09,2,7,0
Soybean,21.6,50.2,1.17,11.9,1017.4,15.4,6.94,1,1,1,1.78,1,7,1
Rice,31.5,71.3,6.2,8.6,1016.8,51.0,5.94,2,0,2,2.07,1,1,1
Jowar,27.1,78.0,2.45,11.4,1011.5,11.2,5.76,0,2,1,2.24,2,8,0
Pulses,33.1,50.8,3.81,10.8,1016.7,38.7,6.64,1,1,0,2.37,2,6,0
Soybean,26.6,49.2,4.86,10.7,1012.7,93.3,6.84,2,0,1,2.2,1,12,1
Rice,32.1,91.6,1.42,13.9,1010.2,67.8,6.55,0,0,2,1.59,2,10,0
Bajra,21.9,40.7,0.18,14.8,1014.1,93.9,7.51,1,1,2,0.73,2,8,0
Groundnut,25.7,67.3,0.0,10.6,1017.1,57.8,7.01,2,0,2,2.39,0,3,1
Jowar,30.1,45.8,7.37,13.8,1011.8,31.4,7.75,2,0,1,0.98,1,3,1
Pulses,31.1,64.4,1.96,3.5,1014.6,13.7,7.33,2,1,0,0.91,0,10,1
Cotton,28.4,55.9,2.74,13.3,1013.9,52.3,6.74,2,1,1,1.32,0,8,1
Groundnut,30.1,49.3,1.17,4.9,1014.0,70.0,6.8,2,1,2,1.83,2,10,1
Soybean,27.3,65.0,2.61,2.7,1008.7,69.2,5.47,2,1,0,2.03,0,9,0
Pulses,31.4,52.9,2.77,6.7,1010.1,20.9,8.06,0,1,0,1.4,0,6,1
Bajra,34.2,39.4,0.0,7.0,1015.3,45.9,7.79,0,2,1,2.2,1,1,1
Groundnut,23.5,60.5,0.0,10.5,1013.3,71.5,6.47,0,2,2,1.78,2,11,0
Bajra,31.8,42.8,0.37,12.8,1018.7,81.5,6.19,0,0,0,2.75,1,1,1
